
 jobname = Hartree_V // full set of hyperons                 
 M= 1.5000 M_sol,   R= 13.9558 km

  radial distance  |     m(r)       |  energy density  | number density
      (meter)          (M_sol)            (MeV/fm^3)       (1/fm^3)
   0.1320052E+05     0.1497654E+01     0.1859141E+02     0.1803712E-01
   0.1321228E+05     0.1498020E+01     0.1283319E+02     0.1298164E-01
   0.1322405E+05     0.1498280E+01     0.9823244E+01     0.1027690E-01
   0.1323581E+05     0.1498496E+01     0.8846717E+01     0.9284946E-02
   0.1324758E+05     0.1498693E+01     0.8040700E+01     0.8441702E-02
   0.1325934E+05     0.1498872E+01     0.7268226E+01     0.7633081E-02
   0.1327111E+05     0.1499034E+01     0.6528713E+01     0.6858564E-02
   0.1328288E+05     0.1499179E+01     0.5821548E+01     0.6117564E-02
   0.1329464E+05     0.1499308E+01     0.5146363E+01     0.5409745E-02
   0.1330641E+05     0.1499422E+01     0.4502817E+01     0.4734747E-02
   0.1331817E+05     0.1499521E+01     0.3890950E+01     0.4092616E-02
   0.1332994E+05     0.1499606E+01     0.3311489E+01     0.3484206E-02
   0.1334170E+05     0.1499678E+01     0.2766534E+01     0.2911753E-02
   0.1335347E+05     0.1499739E+01     0.2260719E+01     0.2380139E-02
   0.1336523E+05     0.1499787E+01     0.1803175E+01     0.1899048E-02
   0.1337700E+05     0.1499825E+01     0.1408335E+01     0.1483713E-02
   0.1338876E+05     0.1499855E+01     0.1090834E+01     0.1149621E-02
   0.1340053E+05     0.1499878E+01     0.8532445E+00     0.8995204E-03
   0.1341229E+05     0.1499897E+01     0.6821235E+00     0.7193240E-03
   0.1342406E+05     0.1499912E+01     0.5586113E+00     0.5892272E-03
   0.1343582E+05     0.1499924E+01     0.4671870E+00     0.4929107E-03
   0.1344759E+05     0.1499934E+01     0.3972636E+00     0.4192282E-03
   0.1345935E+05     0.1499943E+01     0.3422141E+00     0.3612099E-03
   0.1347112E+05     0.1499951E+01     0.2976035E+00     0.3141859E-03
   0.1348288E+05     0.1499958E+01     0.2609256E+00     0.2755189E-03
   0.1349465E+05     0.1499963E+01     0.1967988E+00     0.2078366E-03
   0.1350641E+05     0.1499968E+01     0.1881646E+00     0.1987558E-03
   0.1351818E+05     0.1499973E+01     0.2185264E+00     0.2308665E-03
   0.1352994E+05     0.1499979E+01     0.2716667E+00     0.2870418E-03
   0.1354171E+05     0.1499986E+01     0.2376088E+00     0.2510991E-03
   0.1355347E+05     0.1499990E+01     0.7806867E-01     0.8258523E-04
   0.1356524E+05     0.1499991E+01     0.3919853E-01     0.4152530E-04
   0.1357701E+05     0.1499992E+01     0.4049844E-01     0.4289458E-04
   0.1358877E+05     0.1499993E+01     0.4460814E-01     0.4723034E-04
   0.1360053E+05     0.1499995E+01     0.3807579E-01     0.4032440E-04
   0.1361230E+05     0.1499996E+01     0.3367914E-01     0.3567431E-04
   0.1362407E+05     0.1499997E+01     0.2967399E-01     0.3143742E-04
   0.1363583E+05     0.1499998E+01     0.2605104E-01     0.2760378E-04
   0.1364759E+05     0.1499999E+01     0.2276682E-01     0.2412764E-04
   0.1365936E+05     0.1499999E+01     0.1981258E-01     0.2100031E-04
   0.1367113E+05     0.1499999E+01     0.1715882E-01     0.1819063E-04
   0.1368289E+05     0.1499999E+01     0.1478272E-01     0.1567445E-04
   0.1369466E+05     0.1499999E+01     0.1266910E-01     0.1343564E-04
   0.1370642E+05     0.1499999E+01     0.1078834E-01     0.1144299E-04
   0.1371819E+05     0.1499999E+01     0.9127971E-02     0.9683544E-05
   0.1372995E+05     0.1499999E+01     0.7669305E-02     0.8137488E-05
   0.1374172E+05     0.1499999E+01     0.6394792E-02     0.6786323E-05
   0.1375348E+05     0.1499999E+01     0.5285294E-02     0.5609860E-05
   0.1376525E+05     0.1499999E+01     0.4327466E-02     0.4594016E-05
   0.1377701E+05     0.1499999E+01     0.3506427E-02     0.3722991E-05
   0.1378878E+05     0.1499999E+01     0.2808255E-02     0.2982190E-05
   0.1380054E+05     0.1499999E+01     0.2219723E-02     0.2357611E-05
   0.1381231E+05     0.1499999E+01     0.1728560E-02     0.1836222E-05
   0.1382407E+05     0.1499999E+01     0.1323330E-02     0.1405973E-05
   0.1383584E+05     0.1499999E+01     0.9933165E-03     0.1055519E-05
   0.1384760E+05     0.1499999E+01     0.7282179E-03     0.7739368E-06
   0.1385937E+05     0.1499999E+01     0.5194421E-03     0.5521385E-06
   0.1387113E+05     0.1499999E+01     0.3581707E-03     0.3807729E-06
   0.1388290E+05     0.1499999E+01     0.2368263E-03     0.2518100E-06
   0.1389466E+05     0.1499999E+01     0.1483219E-03     0.1577294E-06
   0.1390643E+05     0.1499999E+01     0.8632172E-04     0.9181071E-07
   0.1391819E+05     0.1499999E+01     0.4518485E-04     0.4806528E-07
   0.1392996E+05     0.1499999E+01     0.1992809E-04     0.2120163E-07
   0.1394172E+05     0.1499999E+01     0.6233712E-05     0.6633087E-08
   0.1395349E+05     0.1499999E+01     0.5019213E-06     0.5341622E-09
   --------- at surface of the star ----------------------------------
